Wall time,Step,Value
1648749413.885198,1768,0.00018327913130633533
1648749413.9795132,1774,0.0001865472731878981
1648749413.9949427,1775,0.0001870976120699197
1648749414.0109322,1776,0.00018764956621453166
1648749414.3039665,1795,0.00019845158385578543
1648749414.3336625,1797,0.00019962422084063292
1648749414.3795671,1800,0.00020139614935033023
1648749414.5127,1808,0.00020619860151782632
1648749414.6011589,1813,0.00020925811259076
1648749414.670159,1817,0.0002117383701261133
1648749414.8372908,1826,0.000217426975723356
1648749414.8830867,1829,0.0002193569380324334
1648749414.8985393,1830,0.00022000406170263886
1648749414.9775016,1835,0.00022326842008624226
1648749415.007984,1837,0.00022458768216893077
1648749415.0736783,1841,0.00022724963491782546
1648749415.3086686,1854,0.0002361208462389186
1648749415.4185138,1861,0.00024104023759718984
1648749415.449316,1863,0.00024246452085208148
1648749415.5903423,1872,0.00024897861294448376
1648749415.6241949,1874,0.0002504497824702412
1648749417.160472,1878,0.00025341828586533666
1648749417.205756,1881,0.0002556677209213376
1648749417.2537553,1884,0.00025793712120503187
1648749417.284218,1886,0.0002594612305983901
1648749417.3617823,1891,0.0002633110561873764
1648749417.3911748,1893,0.0002648669178597629
1648749417.4392467,1896,0.00026721798349171877
1648749417.4683654,1898,0.0002687969245016575
1648749417.483424,1899,0.0002695899165701121
1648749417.513347,1901,0.00027118288562633097
1648749417.545221,1903,0.00027278525521978736
1648749417.620456,1908,0.00027683275402523577
1648749417.6521983,1910,0.0002784685348160565
1648749417.6965485,1913,0.0002809403231367469
1648749417.8327157,1922,0.0002884881105273962
1648749417.8667738,1924,0.00029019275098107755
1648749417.9546304,1930,0.0002953673538286239
1648749417.9714158,1931,0.00029623869340866804
1648749418.0009582,1933,0.0002979891432914883
1648749418.061221,1937,0.0003015210968442261
1648749418.0784194,1938,0.0003024105972144753
1648749418.1074135,1940,0.0003041975141968578
1648749418.1378076,1942,0.0003059949667658657
1648749418.1531644,1943,0.0003068976802751422
1648749418.2304807,1948,0.00031145132379606366
1648749418.5083423,1966,0.00032841117354109883
1648749418.6901333,1978,0.0003402277361601591
1648749418.7230775,1980,0.00034223811235278845
1648749418.8333085,1987,0.00034936837619170547
1648749419.0996068,2004,0.0003673093451652676
1648749419.1453235,2007,0.00037056973087601364
1648749419.269581,2015,0.0003794062358792871
1648749419.3455849,2020,0.00038503576070070267
1648749419.3604403,2021,0.0003861716540995985
1648749419.4078467,2024,0.0003895994450431317
1648749419.4538653,2027,0.00039305767859332263
1648749419.468968,2028,0.0003942172334063798
1648749419.5619445,2034,0.0004012467397842556
1648749419.5936966,2036,0.000403617654228583
1648749419.6089804,2037,0.00040480835014022887
1648749419.6398127,2039,0.00040720030665397644
1648749419.747886,2046,0.0004156840150244534
1648749419.7626486,2047,0.0004169103049207479
1648749419.9486098,2059,0.0004319111758377403
1648749420.0090444,2063,0.00043703048140741885
1648749420.025243,2064,0.0004383197519928217
1648749420.0865955,2068,0.00044351498945616186
1648749420.1012206,2069,0.00044482341036200523
1648749420.133788,2071,0.0004474518063943833
1648749420.1634977,2073,0.0004500957438722253
1648749420.178292,2074,0.00045142354792915285
1648749420.1931038,2075,0.0004527553101070225
1648749420.256193,2079,0.0004581216489896178
1648749420.3170424,2083,0.00046355160884559155
1648749420.3951123,2088,0.00047042962978594005
1648749420.4725184,2093,0.0004774097178597003
1648749420.5490768,2098,0.0004844933864660561
1648749420.6111543,2102,0.0004902359214611351
1648749420.6567266,2105,0.0004945874097757041
1648749420.688359,2107,0.0004975099000148475
1648749420.782006,2113,0.0005063812714070082
1648749420.9237413,2122,0.0005199857987463474
1648749420.984335,2126,0.0005261490005068481
1648749421.0922048,2133,0.0005371109000407159
1648749421.1869915,2139,0.0005466883885674179
1648749421.2520554,2143,0.000553168123587966
1648749421.3332338,2148,0.0005613758694380522
1648749421.3966653,2152,0.0005680296453647316
1648749421.412731,2153,0.0005697053857147694
1648749421.4783127,2157,0.000576457881834358
1648749421.52739,2160,0.0005815747426822782
1648749421.5440655,2161,0.0005832904716953635
1648749421.6117435,2165,0.0005902039702050388
1648749421.6931887,2170,0.000598961254581809
1648749421.8846638,2182,0.0006205125246196985
1648749422.1630864,2200,0.0006543020135723054
1648749422.3042023,2209,0.0006718806107528508
1648749422.3825428,2214,0.0006818497786298394
1648749422.413314,2216,0.0006858787382952869
1648749422.4798985,2220,0.0006940081948414445
1648749422.6513917,2231,0.0007168645388446748
1648749422.745321,2237,0.0007296473486348987
1648749422.8097293,2241,0.000738295610062778
1648749422.8595655,2244,0.0007448489777743816
1648749422.9682791,2251,0.0007603673147968948
1648749423.2916703,2270,0.0008041378459893167
1648749423.465569,2281,0.0008306211675517261
1648749423.591387,2289,0.000850427953992039
1648749423.8065898,2302,0.0008836263441480696
1648749423.938646,2310,0.0009046971099451184
1648749424.0027115,2314,0.0009154201252385974
1648749424.0858204,2319,0.000929002882912755
1648749424.1576738,2323,0.0009400140261277556
1648749424.3329494,2334,0.0009709722362458706
1648749424.364432,2336,0.0009767096489667892
1648749424.447756,2341,0.000991201726719737
1648749424.468535,2342,0.000994125846773386
1648749426.0373945,2349,0.0010148376459255815
1648749426.0527587,2350,0.0010178314987570047
1648749426.1023476,2353,0.0010268661426380277
1648749426.1176088,2354,0.0010298955021426082
1648749426.2269118,2361,0.0010513525921851397
1648749426.337909,2368,0.0010732567170634866
1648749426.4486737,2375,0.001095617190003395
1648749426.5595722,2382,0.001118443557061255
1648749426.7331145,2393,0.00115527817979455
1648749426.747917,2394,0.0011586863547563553
1648749426.763018,2395,0.0011621045414358377
1648749426.8419766,2400,0.001179347513243556
1648749426.8723412,2402,0.0011863161344081163
1648749426.9182734,2405,0.001196846249513328
1648749426.9811375,2409,0.0012110320385545492
1648749427.0116653,2411,0.0012181878555566072
1648749427.04322,2413,0.0012253860477358103
1648749427.0605435,2414,0.0012290009763091803
1648749427.0758588,2415,0.0012326266150921583
1648749427.2230113,2424,0.0012657426996156573
1648749427.2383242,2425,0.0012694767210632563
1648749427.28588,2428,0.0012807450257241726
1648749427.3166711,2430,0.0012883128365501761
1648749427.3628526,2433,0.001299748313613236
1648749427.701385,2455,0.0013867694651708007
1648749427.717751,2456,0.0013908605324104428
1648749427.7794654,2460,0.0014073458733037114
1648749427.8571248,2465,0.0014282276388257742
1648749428.0903206,2480,0.0014927504817023873
1648749428.1054988,2481,0.0014971541240811348
1648749428.1211905,2482,0.0015015709213912487
1648749428.1534264,2484,0.0015104435151442885
1648749428.2006323,2487,0.0015238507185131311
1648749428.27978,2492,0.001546461135149002
1648749428.3738663,2498,0.0015740370145067573
1648749428.4995618,2506,0.0016115710604935884
1648749428.5146503,2507,0.0016163253458216786
1648749428.5951116,2512,0.0016403078334406018
1648749428.6092257,2513,0.0016451469855383039
1648749428.6837852,2518,0.0016695570666342974
1648749428.8952694,2532,0.001739849685691297
1648749429.001408,2539,0.0017760981572791934
1648749429.033159,2541,0.0017865928821265697
1648749429.21178,2552,0.0018454320961609483
1648749429.2267003,2553,0.0018508763751015067
1648749429.7295268,2584,0.0020278519950807095
1648749429.8571439,2592,0.002076207660138607
1648749429.872499,2593,0.0020823327358812094
1648749429.8878162,2594,0.002088475739583373
1648749429.9202409,2596,0.0021008162293583155
1648749429.9357026,2597,0.002107013715431094
1648749429.9504473,2598,0.0021132295951247215
1648749430.184632,2613,0.0022086985409259796
